127.0.0.1 - - [04/Dec/2015:05:21:46 -0800] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [04/Dec/2015:05:22:00 -0800] "POST /ngdemo/signinServlet HTTP/1.1" 200 12784
127.0.0.1 - - [04/Dec/2015:05:22:00 -0800] "GET /ngdemo/assets/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:00 -0800] "GET /ngdemo/css/session.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:00 -0800] "GET /ngdemo/lib/angular/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:00 -0800] "GET /ngdemo/assets/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:00 -0800] "GET /ngdemo/css/pages.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:00 -0800] "GET /ngdemo/js/app.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:00 -0800] "GET /ngdemo/js/controllers.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:00 -0800] "GET /ngdemo/js/services.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:00 -0800] "GET /ngdemo/js/filters.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:00 -0800] "GET /ngdemo/lib/angular/angular-resource.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:00 -0800] "GET /ngdemo/js/directives.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:00 -0800] "GET /ngdemo/js/bootstrap/bootstrap.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:00 -0800] "GET /ngdemo/css/elusive-webfont.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:00 -0800] "GET /ngdemo/js/highcharts.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:00 -0800] "GET /ngdemo/css/sunburst.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:02 -0800] "GET /ngdemo/img/bootstrap/mobile-integration-workgroup-squarelogo.png HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:02 -0800] "GET /ngdemo/web/devicetests/devicecount/ HTTP/1.1" 200 11
127.0.0.1 - - [04/Dec/2015:05:22:02 -0800] "GET /ngdemo/web/devicetests/errorcount/ HTTP/1.1" 200 12
127.0.0.1 - - [04/Dec/2015:05:22:02 -0800] "GET /ngdemo/web/devicetests/testcount/ HTTP/1.1" 200 12
127.0.0.1 - - [04/Dec/2015:05:22:02 -0800] "GET /ngdemo/web/devicetests/stats/ HTTP/1.1" 200 22
127.0.0.1 - - [04/Dec/2015:05:22:56 -0800] "POST /ngdemo/signinServlet HTTP/1.1" 200 12785
127.0.0.1 - - [04/Dec/2015:05:22:56 -0800] "GET /ngdemo/assets/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:56 -0800] "GET /ngdemo/assets/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:56 -0800] "GET /ngdemo/css/session.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:56 -0800] "GET /ngdemo/css/elusive-webfont.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:56 -0800] "GET /ngdemo/css/pages.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:56 -0800] "GET /ngdemo/js/bootstrap/bootstrap.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:56 -0800] "GET /ngdemo/css/sunburst.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:56 -0800] "GET /ngdemo/lib/angular/angular-resource.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:56 -0800] "GET /ngdemo/js/app.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:56 -0800] "GET /ngdemo/lib/angular/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:56 -0800] "GET /ngdemo/js/services.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:56 -0800] "GET /ngdemo/js/controllers.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:56 -0800] "GET /ngdemo/js/filters.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:56 -0800] "GET /ngdemo/js/highcharts.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:56 -0800] "GET /ngdemo/js/directives.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:56 -0800] "GET /ngdemo/img/bootstrap/mobile-integration-workgroup-squarelogo.png HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:22:56 -0800] "GET /ngdemo/web/devicetests/devicecount/ HTTP/1.1" 200 11
127.0.0.1 - - [04/Dec/2015:05:22:56 -0800] "GET /ngdemo/web/devicetests/errorcount/ HTTP/1.1" 200 12
127.0.0.1 - - [04/Dec/2015:05:22:56 -0800] "GET /ngdemo/web/devicetests/testcount/ HTTP/1.1" 200 12
127.0.0.1 - - [04/Dec/2015:05:22:56 -0800] "GET /ngdemo/web/devicetests/stats/ HTTP/1.1" 200 22
127.0.0.1 - - [04/Dec/2015:05:23:13 -0800] "POST /ngdemo/signinServlet HTTP/1.1" 200 12785
127.0.0.1 - - [04/Dec/2015:05:23:13 -0800] "GET /ngdemo/assets/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:13 -0800] "GET /ngdemo/assets/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:13 -0800] "GET /ngdemo/css/session.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:13 -0800] "GET /ngdemo/css/elusive-webfont.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:13 -0800] "GET /ngdemo/css/pages.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:13 -0800] "GET /ngdemo/css/sunburst.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:13 -0800] "GET /ngdemo/lib/angular/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:13 -0800] "GET /ngdemo/lib/angular/angular-resource.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:13 -0800] "GET /ngdemo/js/bootstrap/bootstrap.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:13 -0800] "GET /ngdemo/js/services.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:13 -0800] "GET /ngdemo/js/app.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:13 -0800] "GET /ngdemo/js/filters.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:13 -0800] "GET /ngdemo/js/directives.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:13 -0800] "GET /ngdemo/js/controllers.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:13 -0800] "GET /ngdemo/js/highcharts.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:13 -0800] "GET /ngdemo/img/bootstrap/mobile-integration-workgroup-squarelogo.png HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:13 -0800] "GET /ngdemo/web/devicetests/devicecount/ HTTP/1.1" 200 11
127.0.0.1 - - [04/Dec/2015:05:23:13 -0800] "GET /ngdemo/web/devicetests/testcount/ HTTP/1.1" 200 12
127.0.0.1 - - [04/Dec/2015:05:23:13 -0800] "GET /ngdemo/web/devicetests/errorcount/ HTTP/1.1" 200 12
127.0.0.1 - - [04/Dec/2015:05:23:13 -0800] "GET /ngdemo/web/devicetests/stats/ HTTP/1.1" 200 22
127.0.0.1 - - [04/Dec/2015:05:23:27 -0800] "POST /ngdemo/signinServlet HTTP/1.1" 200 12785
127.0.0.1 - - [04/Dec/2015:05:23:27 -0800] "GET /ngdemo/assets/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:27 -0800] "GET /ngdemo/assets/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:27 -0800] "GET /ngdemo/css/session.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:27 -0800] "GET /ngdemo/css/elusive-webfont.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:27 -0800] "GET /ngdemo/css/pages.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:27 -0800] "GET /ngdemo/css/sunburst.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:27 -0800] "GET /ngdemo/js/bootstrap/bootstrap.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:27 -0800] "GET /ngdemo/lib/angular/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:27 -0800] "GET /ngdemo/lib/angular/angular-resource.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:27 -0800] "GET /ngdemo/js/controllers.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:27 -0800] "GET /ngdemo/js/highcharts.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:27 -0800] "GET /ngdemo/js/services.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:27 -0800] "GET /ngdemo/js/filters.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:27 -0800] "GET /ngdemo/js/app.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:27 -0800] "GET /ngdemo/js/directives.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:27 -0800] "GET /ngdemo/img/bootstrap/mobile-integration-workgroup-squarelogo.png HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:27 -0800] "GET /ngdemo/web/devicetests/errorcount/ HTTP/1.1" 200 12
127.0.0.1 - - [04/Dec/2015:05:23:27 -0800] "GET /ngdemo/web/devicetests/testcount/ HTTP/1.1" 200 12
127.0.0.1 - - [04/Dec/2015:05:23:27 -0800] "GET /ngdemo/web/devicetests/devicecount/ HTTP/1.1" 200 11
127.0.0.1 - - [04/Dec/2015:05:23:27 -0800] "GET /ngdemo/web/devicetests/stats/ HTTP/1.1" 200 22
127.0.0.1 - - [04/Dec/2015:05:23:45 -0800] "POST /ngdemo/signinServlet HTTP/1.1" 200 12785
127.0.0.1 - - [04/Dec/2015:05:23:45 -0800] "GET /ngdemo/assets/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:45 -0800] "GET /ngdemo/assets/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:45 -0800] "GET /ngdemo/css/session.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:45 -0800] "GET /ngdemo/css/elusive-webfont.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:45 -0800] "GET /ngdemo/css/sunburst.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:45 -0800] "GET /ngdemo/lib/angular/angular.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:45 -0800] "GET /ngdemo/js/bootstrap/bootstrap.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:45 -0800] "GET /ngdemo/js/app.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:45 -0800] "GET /ngdemo/css/pages.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:45 -0800] "GET /ngdemo/js/controllers.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:45 -0800] "GET /ngdemo/js/highcharts.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:45 -0800] "GET /ngdemo/js/filters.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:45 -0800] "GET /ngdemo/lib/angular/angular-resource.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:45 -0800] "GET /ngdemo/js/directives.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:45 -0800] "GET /ngdemo/js/services.js HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:45 -0800] "GET /ngdemo/img/bootstrap/mobile-integration-workgroup-squarelogo.png HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:23:45 -0800] "GET /ngdemo/web/devicetests/testcount/ HTTP/1.1" 200 12
127.0.0.1 - - [04/Dec/2015:05:23:45 -0800] "GET /ngdemo/web/devicetests/devicecount/ HTTP/1.1" 200 11
127.0.0.1 - - [04/Dec/2015:05:23:45 -0800] "GET /ngdemo/web/devicetests/errorcount/ HTTP/1.1" 200 12
127.0.0.1 - - [04/Dec/2015:05:23:45 -0800] "GET /ngdemo/web/devicetests/stats/ HTTP/1.1" 200 22
127.0.0.1 - - [04/Dec/2015:05:24:32 -0800] "POST /ngdemo/signinServlet HTTP/1.1" 200 12785
127.0.0.1 - - [04/Dec/2015:05:24:32 -0800] "GET /ngdemo/assets/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2015:05:24:32 -0800] "GET /ngdemo/assets/css/font-awesome.min.css HTTP/1.1" 304 -
